id,atlas_x,attracts_wildlife,bacterial_affinity,coppice_yield,cost,desc,drought_resist,dynamic_accumulator,edible_parts,energy_yield,frost_hardiness,fungal_affinity,harvest_season,ideal_ph_max,ideal_ph_min,latin_name,layer,lifecycle,m_delta,macro_life_affinity,mature_turn,days_to_mature,days_to_senescence,max_minerals,max_moisture,max_nitrogen,max_temp,max_toxicity,min_depth,min_germination_temp,min_minerals,min_moisture,min_nitrogen,mineral_delta,moisture_delta,mycorrhizal_affinity,n_delta,name,nitrogen_delta,nitrogen_fixer,repels_pests,root_type,shade_tolerance,soil_reqs,soil_yields,spread_rate,structure_delta,toxicity,toxicity_delta,windbreak_rating,yield_val,flowering_seasons,pollination_bonus
white_clover,8,Bees,7,0,2,Spreading living mulch. Suppresses weeds and fixes nitrogen.,Medium,false,Leaves,0,9,3,Continuous,7,6,Trifolium repens,ground,perennial,-0.2,8,3,3,6,10,10,10,40,7,15,7,4,4,3,0,0,Medium,0.4,White Clover,2,true,,Creeping,Medium,,loam,5,0,None,0,0,2,"spring,summer,autumn",1
wild_garlic,8,Insects,5,0,3,Thrives in damp woodland understories. A delicate bulb.,Low,false,"Leaves, Flowers",3,9,4,Spring,7,5.5,Allium ursinum,ground,perennial,-0.5,6,4,4,7,10,10,10,40,7,20,5,4,4,4,-1,-1,Medium,-0.2,Wild Garlic,-1,false,,Bulb,High,loam,well aerated,4,0,None,0,0,6,spring,1
daikon,8,,7,0,4,Bio-drill. Chop and drop to break clay and aerate soil.,High,false,Root,7,7,3,Autumn,7,6,Raphanus sativus var. longipinnatus,ground,annual,1,5,5,5,8,10,10,10,40,7,45,8,5,4,1,2,2,Low,-0.2,Daikon Radish,-1,false,,Deep Taproot,Medium,,well aerated,1,3,None,0,0,15,autumn,2
alpine_strawberry,8,Birds,5,0,3,Shade tolerant groundcover producing tiny sweet fruits.,Medium,false,Fruit,3,9,6,Summer,6.8,5.8,Fragaria vesca,ground,perennial,-0.5,6,4,4,7,10,10,10,40,7,18,6,4,4,4,-1,-1,High,-0.1,Alpine Strawberry,0,false,,Creeping,High,loam,mycorrhizally interconnected,3,0,None,0,0,5,summer,1
grass,8,Insects,4,0,0,Wild groundcover biomass.,High,false,Leaves,0,10,3,Continuous,7.5,5.0,Poaceae spp.,ground,perennial,-0.2,4,3,3,6,10,10,10,40,0,40,0,0,0,0,0.0,-0.2,Medium,0.0,Grass,0,false,,Fibrous,Medium,,loam,6,0,None,0.0,0,0,"spring,summer,autumn",0
heather,8,Bees,4,0,0,Hardy heath groundcover. Tough in poor soil.,High,false,Flowers,0,10,5,Summer,6.5,4.5,Calluna vulgaris,ground,perennial,-0.1,4,6,6,9,10,10,10,40,0,40,0,0,0,0,0.0,-0.1,Medium,0.0,Heather,0,false,,Shallow,High,sandy,,2,0,None,0.0,0,0,summer,0
bramble,7,Birds|Insects,4,0,0,Thorny understory shrub. Great wildlife habitat.,High,false,Berries,1,9,6,Late Summer,7.5,5.0,Rubus fruticosus,understory,perennial,-0.6,5,12,12,17,10,10,10,40,0,40,0,0,0,0,0.0,-0.3,Medium,-0.1,Bramble,0,false,,Fibrous spreading,Medium,,well aerated,2,0,None,0.0,0,2,"summer,autumn",1
bracken,7,Insects,3,0,0,Aggressive fern understory. Useful biomass when cut back.,High,false,Leaves,0,10,7,Summer,7.0,4.5,Pteridium aquilinum,understory,perennial,-0.8,4,10,10,14,10,10,10,40,0,40,0,0,0,0,0.0,-0.4,Low,-0.1,Bracken,0,false,,Rhizome,Medium,loam,,2,0,None,0.0,0,0,summer,0
water_mint,8,Insects,6,0,2,Thrives in boggy waterlogged soil. Aromatic.,Low,false,Leaves,2,8,3,Summer,7.5,6,Mentha aquatica,ground,perennial,-1.5,7,3,3,6,10,10,10,40,7,18,8,4,4,4,0,-3,Low,-0.1,Water Mint,0,false,,Creeping,Medium,,well aerated,4,0,None,0,0,4,summer,1
potato,7,,8,0,5,Heavy-yielding staple. Harvesting physically breaks up compacted clay.,Medium,false,Tuber,10,8,3,Autumn,6.5,5.5,Solanum tuberosum,understory,annual,-1,6,6,6,9,10,10,10,40,6,35,8,4,4,4,-2,-2,Low,-0.5,Maincrop Potato,-2,false,,Tuber,Low,,well aerated,2,1,Leaves toxic,0,0,20,autumn,3
winter_cabbage,7,,8,0,7,Tough winter veg. Heavy nitrogen drain requiring strong compost.,Medium,false,Leaves,12,10,3,Winter,7,6,Brassica oleracea,understory,annual,-2,5,6,6,9,10,10,10,40,6,28,5,4,4,4,-3,-4,Low,-0.5,Winter Cabbage,-2,false,,Fibrous,Low,well aerated,,1,0,None,0,0,22,"spring,summer",3
carrot,8,,7,0,3,Classic staple that demands loose soil. Will fork in heavy clay.,Medium,false,Root,5,8,3,Autumn,7,6,Daucus carota,ground,annual,-0.5,4,4,4,7,10,10,10,40,7,38,8,4,4,4,-1,-1,Low,-0.2,Autumn Carrot,-1,false,,Taproot,Low,well aerated|sandy,,1,2,None,0,0,12,autumn,2
lettuce,8,,9,0,2,Quick-cut salad crop for Generation 1.,Medium,false,Leaves,4,7,2,Summer,7,6,Lactuca sativa,ground,annual,-0.5,5,3,3,6,10,10,10,40,5,18,10,4,4,4,-1,-1,Low,-0.1,Lettuce,0,false,,Fibrous,Medium,,well aerated,4,0,None,0,0,8,summer,1
himalayan_balsam,8,Bees,5,0,1,Highly invasive weed that spreads explosively along waterways.,Low,false,None,0,7,2,None,7.5,6,Impatiens glandulifera,ground,annual,-1.5,3,3,3,6,10,10,10,40,10,12,9,3,4,3,0,-3,Low,-0.1,Himalayan Balsam,0,false,,Shallow,Medium,,loam,10,0,Invasive weed,0,0,0,,0
tomato,5,Bees,7,0,3,Heavy-feeding fruit crop; needs warmth and consistent moisture.,Medium,false,Fruit,6,3,4,Summer,6.8,6,Solanum lycopersicum,ground,annual,-1.5,5,5,5,8,10,10,10,40,6,30,4,4,4,4,-2,-3,Medium,-0.6,Cherry Tomato,-3,false,,Fibrous,Low,well aerated|loam,,1,0,None,0,0,18,summer,2
nettle,8,Butterflies|Insects,6,0,2,Dynamic accumulator that pulls minerals from deep soil. Tolerates mild toxicity.,Medium,true,Leaves,2,9,4,Spring,7.5,6,Urtica dioica,ground,perennial,-0.3,0.1,8,8,15,10,8,10,30,7,0,5,1,4,1,0.2,-0.1,Medium,0.3,Stinging Nettle,0.05,false,,Rhizome,Medium,loam|well aerated,,5,0.05,Stings on contact,-0.1,0,4,summer,1
dandelion,8,Bees|Insects,7,0,1,Taproot violently breaks up compacted soil structure and brings up minerals. Loved by pollinators.,High,false,"Leaves, Flowers",1,10,3,Spring,7.5,5.5,Taraxacum officinale,ground,perennial,0.5,0.2,5,5,12,10,7,10,35,7,0,2,0,2,0,0.15,-0.05,Low,-0.1,Dandelion,0.0,false,,Deep Taproot,Low,,well aerated,6,0.3,None,-0.05,0,2,"spring,summer",1
sweetcorn,7,Birds,6,0,10,A heavy-feeding stalk that provides vertical structure for climbing plants.,Medium,false,Cobs,8,3,4,Late Summer,7,6,Zea mays,understory,annual,-1.5,0.0,20,20,28,10,8,10,35,6,20,15,4,4,5,-0.15,-0.2,Medium,-0.8,Sweetcorn,-0.2,false,,Fibrous,Low,well aerated|loam,,0,0.05,None,0.0,2,16,summer,2
climbing_bean,7,Bees,8,0,8,Aggressive nitrogen fixer that thrives when given a structure to climb.,Medium,false,Beans,5,4,3,Summer,7,6,Phaseolus vulgaris,understory,annual,-0.3,0.1,16,16,24,10,7,10,30,7,15,12,3,3,2,-0.1,-0.1,Low,0.6,Climbing Bean,0.25,true,,Fibrous,Medium,,loam,0,0.05,None,0.0,0,10,summer,2
squash,8,Bees,6,0,12,"Broad leaves act as a living mulch, trapping moisture in the soil and blocking weeds.",Medium,false,Fruit,6,2,5,Autumn,7,6,Cucurbita pepo,ground,annual,-1,0.1,22,22,30,10,8,10,35,6,20,18,4,4,6,-0.15,0.1,Medium,-0.4,Squash,-0.25,false,,Fibrous spreading,Low,well aerated|loam,,2,0.0,None,0.0,0,14,summer,2
gooseberry,7,Birds,5,2,15,A hardy perennial bush that anchors thicket guilds.,Medium,false,Berries,5,8,6,Summer,7,5.5,Ribes uva-crispa,understory,perennial,-0.8,0.2,28,28,999,10,7,10,28,7,25,5,3,3,3,-0.05,-0.1,Medium,-0.3,Gooseberry,-0.05,false,,Fibrous spreading,Medium,loam,mycorrhizally interconnected,2,0.1,None,0.0,1,12,"spring,summer",2
willow,6,Birds|Insects,5,8,25,Thrives in waterlogged soil. An extreme moisture drinker and excellent phytoremediator.,Low,false,None,0,9,6,None,7.5,5.5,Salix alba,canopy,perennial,-2,0.2,28,28,999,10,25,10,35,8,30,5,2,5,2,-0.05,-0.4,Medium,-0.2,Willow,-0.05,false,,Deep,Low,loam,well aerated,3,0.2,None,-0.2,6,0,spring,0
reed,8,Birds|Insects,4,3,5,Essential wetland habitat that filters heavy toxicity out of standing water.,Low,false,None,0,8,4,None,7.5,5.5,Phragmites australis,ground,perennial,-0.5,0.2,14,14,999,10,25,10,35,8,0,5,1,6,1,-0.02,-0.3,Low,0,Reed,-0.02,false,,Rhizome,Low,,,4,0.15,None,-0.3,3,0,summer,0
